Termék neve;Kiszerelés neve;TK szám;Hatóanyag;Forg Eng Jog;ATC kód 1/ATC kód 2;A hiány kezdete;A hiány tervezett vége;A hiány oka;Javaslat a hiánykészítmény pótlására;
"ASPIRIN COMPLEX Forró Ital 500 mg/30 mg granulátum belsõleges szuszpenzióhoz;""10 X   - tasakban"";""OGYI-T-20613/03"";""acetylsalicylic acid;pseudoephedrine hydrochloride"";""Bayer Hungária Kft."";""N02BA01 / R01BA02"";""2023-02-21 00:00:00"";"""";""Gyártási gond"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"ASPIRIN COMPLEX Forró Ital 500 mg/30 mg granulátum belsõleges szuszpenzióhoz;""20 X   - tasakban"";""OGYI-T-20613/04"";""acetylsalicylic acid;pseudoephedrine hydrochloride"";""Bayer Hungária Kft."";""N02BA01 / R01BA02"";""2022-09-29 00:00:00"";"""";""Gyártási gond"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"ASPIRIN PLUS C FORTE 800 mg/480 mg pezsgõtabletta;""20 X   - szalagcsomagolásban"";""OGYI-T-01507/04"";""acetylsalicylic acid;ascorbic acid"";""Bayer Hungária Kft."";""N02BA51"";""2025-10-08 00:00:00"";""2025-11-15 00:00:00"";""Megnövekedett igény"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"ASPIRIN PROTECT 100 mg gyomornedv-ellenálló bevont tabletta;""20 X   - buborékcsomagolásban"";""OGYI-T-05950/01"";""acetylsalicylic acid"";""Bayer AG"";""B01AC06"";""2015-11-09 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"ASPIRIN PROTECT 100 mg gyomornedv-ellenálló bevont tabletta;""50 X   - buborékcsomagolásban"";""OGYI-T-05950/02"";""acetylsalicylic acid"";""Bayer AG"";""B01AC06"";""2015-11-09 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"ASPIRIN PROTECT 100 mg gyomornedv-ellenálló bevont tabletta;""56 X   - buborékcsomagolásban"";""OGYI-T-05950/06"";""acetylsalicylic acid"";""Bayer AG"";""B01AC06"";""2025-10-09 00:00:00"";""2025-11-15 00:00:00"";""Gyártási gond"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"ATORVASTATIN HEXAL 10 mg filmtabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-20199/01"";""atorvastatin"";""Sandoz Hungária Kft."";""C10AA05"";""2024-05-01 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"ATORVASTATIN HEXAL 20 mg filmtabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-20199/04"";""atorvastatin"";""Sandoz Hungária Kft."";""C10AA05"";""2024-05-09 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"ATORVASTATIN HEXAL 40 mg filmtabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-20199/07"";""atorvastatin"";""Sandoz Hungária Kft."";""C10AA05"";""2024-04-26 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"ATORVASTATIN-TEVA 10 mg filmtabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-22355/01"";""atorvastatin"";""Teva Gyógyszergyár Zrt."";""C10AA05"";""2025-10-01 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"ATORVASTATIN-TEVA 20 mg filmtabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-22355/02"";""atorvastatin"";""Teva Gyógyszergyár Zrt."";""C10AA05"";""2025-10-28 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"ATORVASTATIN-TEVA 40 mg filmtabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-22355/03"";""atorvastatin"";""Teva Gyógyszergyár Zrt."";""C10AA05"";""2025-10-01 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"ATORVASTATIN-TEVA 80 mg filmtabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-22355/04"";""atorvastatin"";""Teva Gyógyszergyár Zrt."";""C10AA05"";""2025-10-28 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"ATROFORT pezsgõtabletta;""20 X   - PP tartályban"";""OGYI-T-20761/01"";""glucosamine"";""BÉRES Gyógyszergyár Zrt."";""M01AX05"";""2014-12-31 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"AVELOX 400 mg/250 ml oldatos infúzió;""1 X 250 ml infúziós üvegben"";""OGYI-T-07554/06"";""moxifloxacin"";""Bayer AG"";""J01MA14"";""2024-09-25 00:00:00"";"""";""Piaci megfontolások"";""Azonos hatóanyag más gyógyszerformában elérhetõ"";"
"AZZALURE 125 Speywood egység por oldatos injekcióhoz;""1 X   - injekciós üvegben"";""OGYI-T-21618/01"";""botulinum toxin type A for injection"";""Ipsen Pharma"";""M03AX01"";""2021-03-18 00:00:00"";"""";""Piaci megfontolások"";""Azonos hatóanyag"
"AZZALURE 125 Speywood egység por oldatos injekcióhoz;""2 X   - injekciós üvegben"";""OGYI-T-21618/02"";""botulinum toxin type A for injection"";""Ipsen Pharma"";""M03AX01"";""2021-03-18 00:00:00"";"""";""Piaci megfontolások"";""Azonos hatóanyag"
"Actos 30 mg tabletta;""28 X   - buborékcsomagolásban"";""EU/1/00/150/004"";""pioglitazone"";""Cheplapharm Arzneimittel GmbH"";""A10BG03"";""2019-06-07 00:00:00"";"""";""Piaci megfontolások"";""Egyedi import"";"
"Afinitor  2,5 mg tabletta;""30 X   - -"";""EU/1/09/538/009"";""Everolimus"";""Novartis Europharm Limited"";""L01XE10"";""2018-09-01 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"Alimta 100 mg por oldatos infúzióhoz való koncentrátumhoz;""1 X   - injekciós üvegben"";""EU/1/04/290/002"";""pemetrexed"";""Eli Lilly Nederland B.V."";""L01BA04"";""2018-04-18 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"Alimta 500 mg por oldatos infúzióhoz való koncentrátumhoz;""1 X   - injekciós üvegben"";""EU/1/04/290/001"";""pemetrexed"";""Eli Lilly Nederland B.V."";""L01BA04"";""2018-04-18 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"Aloxi 250 mikrogramm oldatos injekció;""1 X 5 ml -"";""EU/1/04/306/001"";""palonosetron"";""Helsinn Birex Pharmaceuticals Ltd."";""A04AA05"";""2025-03-31 00:00:00"";"""";""Piaci megfontolások"";""Azonos hatóanyag más gyógyszerformában elérhetõ"";"
"Aloxi 500 mikrogramm lágy kapszula;""1 X   - buborékcsomagolásban"";""EU/1/04/306/003"";""palonosetron"";""Helsinn Birex Pharmaceuticals Ltd."";""A04AA05"";""2025-03-31 00:00:00"";"""";""Piaci megfontolások"";""Azonos hatóanyag más gyógyszerformában elérhetõ"";"
"Ammonaps 940 mg/g granulátum;""1 X 266 g tartályban"";""EU/1/99/120/003"";""sodium phenylbutyrate"";""Immedica Pharma AB"";""A16AX03"";""2021-04-20 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"Apidra 100 Egység/ml oldatos injekció patronban;""5 X 3 ml "";""EU/1/04/285/008"";""insulin glulisine"";""sanofi-aventis Deutschland GmbH"";""A10AB06"";""2023-07-24 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"Aprovel 150 mg tabletta;""28 X   - buborékcsomagolásban"";""EU/1/97/046/004"";""irbesartan"";""Sanofi Winthrop Industrie"";""C09CA04"";""2025-01-13 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"Aprovel 300 mg tabletta;""28 X   - buborékcsomagolásban"";""EU/1/97/046/007"";""irbesartan"";""Sanofi Winthrop Industrie"";""C09CA04"";""2025-07-20 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"Arava  10 mg filmtabletta;""30 X   - mûanyag tartályban"";""EU/1/99/118/003"";""leflunomide"";""sanofi-aventis Deutschland GmbH"";""L04AA13"";""2025-05-17 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más hatáserõsségben elérhetõ"";"
"Arava  20 mg filmtabletta;""30 X   - mûanyag tartályban"";""EU/1/99/118/007"";""leflunomide"";""sanofi-aventis Deutschland GmbH"";""L04AA13"";""2025-09-30 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más hatáserõsségben elérhetõ"";"
"Armisarte 25 mg/ml koncentrátum oldatos infúzióhoz;""1 X 20 ml injekciós üvegben"";""EU/1/15/1063/002"";""pemetrexed"";""Actavis Group PTC ehf."";""L01BA04"";""2025-08-05 00:00:00"";"""";""Gyártási gond"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"Armisarte 25 mg/ml koncentrátum oldatos infúzióhoz;""1 X 34 ml injekciós üvegben"";""EU/1/15/1063/004"";""pemetrexed"";""Actavis Group PTC ehf."";""L01BA04"";""2025-10-21 00:00:00"";"""";""Gyártási gond"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"Armisarte 25 mg/ml koncentrátum oldatos infúzióhoz;""1 X 40 ml injekciós üvegben"";""EU/1/15/1063/003"";""pemetrexed"";""Actavis Group PTC ehf."";""L01BA04"";""2025-07-29 00:00:00"";"""";""Gyártási gond"";""Azonos hatóanyag"
"Avastin 25 mg/ml koncentrátum oldatos infúzióhoz;""1 X 16 ml injekciós üvegben"";""EU/1/04/300/002"";""bevacizumab"";""Roche Registration GmbH"";""L01XC07"";""2022-09-01 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más hatáserõsségben elérhetõ"";"
"Azomyr 0,5 mg/ml belsõleges oldat;""1 X 150 ml üvegben"";""EU/1/00/157/064"";""desloratadine"";""N.V. Organon"";""R06AX27"";""2017-12-20 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"BABY LUUF illóolajos kenõcs;""1 X 30 g üveg tartályban"";""OGYI-TN-13/01"";""Eucalyptus oil;Turpentine oil"
"BEN-U-RON 500 mg tabletta;""20 X   - buborékcsomagolásban"";""OGYI-T-04662/01"";""paracetamol"";""Bene Arzneimittel GmbH"";""N02BE01"";""2021-09-16 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"BENDAMUSTINE ACCORD 2,5 mg/ml por oldatos infúzióhoz való koncentrátumhoz;""5 X 100 mg injekciós üvegben"";""OGYI-T-22964/05"";""bendamustine hydrochloride monohydrate"";""Accord Healthcare Polska Sp. z o.o."";""L01AA09"";""2025-04-29 00:00:00"";""2025-12-31 00:00:00"";""Gyártási gond"";""Azonos hatóanyag"
"BENELYTE oldatos infúzió;""10 X 500 ml LDPE palackban"";""OGYI-T-23178/03"";""sodium chloride;potassium chloride;calcium chloride dihydrate;Magnesium chloride hexahydrate;sodium acetate trihydrate;glucose monohydrate"";""Fresenius Kabi Hungary Kft."";""B05BB02"";""2023-12-06 00:00:00"";"""";""Piaci megfontolások"";""Egyedi import"";"
"BETAHISTIN-RATIOPHARM  8 mg tabletta;""100 X   - buborékcsomagolásban"";""OGYI-T-20131/01"";""betahistine"";""Teva Gyógyszergyár Zrt."";""N07CA01"";""2023-03-10 00:00:00"";""2025-11-20 00:00:00"";""Gyártási gond"";""Ugyanaz a gyógyszer más hatáserõsségben elérhetõ"";"
"BETAKLAV 400 mg/57 mg/5 ml por belsõleges szuszpenzióhoz;""1 X 14 g palackban"";""OGYI-T-22869/14"";""amoxicillin;clavulanic acid"";""Krka d.d."
"BETAKLAV 500 mg/125 mg filmtabletta;""21 X   - buborékcsomagolásban"";""OGYI-T-22869/18"";""amoxicillin;clavulanic acid"";""Krka d.d."
"BETAKLAV 875 mg/125 mg filmtabletta;""14 X   - buborékcsomagolásban"";""OGYI-T-22869/22"";""amoxicillin;clavulanic acid"";""Krka d.d."
"BETALOC  1 mg/ml oldatos injekció;""5 X 5 ml ampulla"";""OGYI-T-01815/01"";""metoprolol"";""Recordati Ireland Ltd."";""C07AB02"";""2025-10-17 00:00:00"";""2026-01-17 00:00:00"";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"BETESIL 2,25 mg gyógyszeres tapasz;""4 X   - tasakban"";""OGYI-T-20267/01"";""betamethasone"";""Ibsa Pharma Kft."";""D07AC01"";""2010-05-30 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"BILASTINE TEVA 20 mg tabletta;""30 X 1 - adagonként perforált buborékcsomagolásban"";""OGYI-T-23870/02"";""bilastine"";""Teva B.V."";""R06AX29"";""2025-10-08 00:00:00"";""2025-11-20 00:00:00"";""Gyártási gond"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"BILOBIL 40 mg kemény kapszula;""20 X   - buborékcsomagolásban"";""OGYI-T-22107/01"";""ginkgo dry extract"
"BILOBIL 40 mg kemény kapszula;""60 X   - buborékcsomagolásban"";""OGYI-T-22107/02"";""ginkgo dry extract"
"BILOBIL FORTE 80 mg kemény kapszula;""20 X   - buborékcsomagolásban"";""OGYI-T-10148/01"";""ginkgo dry extract"
"BISOGAMMA  5 mg filmtabletta;""100 X   - buborékcsomagolásban"";""OGYI-T-09388/03"";""bisoprolol"";""Wörwag Pharma GmbH&Co.KG"";""C07AB07"";""2025-11-03 00:00:00"";"""";""Piaci megfontolások"";""Azonos hatóanyag"
"BISOGAMMA  5 mg filmtabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-09388/01"";""bisoprolol"";""Wörwag Pharma GmbH&Co.KG"";""C07AB07"";""2025-11-03 00:00:00"";"""";""Piaci megfontolások"";""Azonos hatóanyag"
"BISOGAMMA  5 mg filmtabletta;""50 X   - buborékcsomagolásban"";""OGYI-T-09388/02"";""bisoprolol"";""Wörwag Pharma GmbH&Co.KG"";""C07AB07"";""2025-11-03 00:00:00"";"""";""Piaci megfontolások"";""Azonos hatóanyag"
"BISOPROLOL VITABALANS  5 mg tabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-20802/04"";""bisoprolol"";""Vitabalans Oy"";""C07AB07"";""2023-04-01 00:00:00"";""2025-12-31 00:00:00"";""Gyártási gond"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"BISOPROLOL VITABALANS 10 mg tabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-20802/12"";""bisoprolol"";""Vitabalans Oy"";""C07AB07"";""2023-04-15 00:00:00"";""2025-12-31 00:00:00"";""Gyártási gond"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"BITINEX  10 mg kemény kapszula;""28 X   - buborékcsomagolásban"";""OGYI-T-23603/05"";""atomoxetine"";""Egis Gyógyszergyár Zrt."";""N06BA09"";""2024-06-20 00:00:00"";""2025-12-31 00:00:00"";""Gyártási gond"";""Ugyanaz a gyógyszer más hatáserõsségben elérhetõ"";"
"BOOSTRIX POLIO szuszpenziós injekció elõretöltött fecskendõben;""1 X 0.5 ml elõretöltött fecskendõben"";""OGYI-T-20497/01"";""vakcina (kombinált)"";""GlaxoSmithKline Biologicals S.A."";""J07CA02"";""2022-04-22 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"BOOSTRIX POLIO szuszpenziós injekció elõretöltött fecskendõben;""1 X 0.5 ml elõretöltött fecskendõben"";""OGYI-T-20497/07"";""vakcina (kombinált)"";""GlaxoSmithKline Biologicals S.A."";""J07CA02"";""2022-03-23 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"BORTEZOMIB SANDOZ 3,5 mg por oldatos injekcióhoz;""1 X   - injekciós üvegben"";""OGYI-T-23375/02"";""bortezomib"";""Sandoz Hungária Kft."";""L01XG01"";""2019-02-27 00:00:00"";""2025-12-31 00:00:00"";""Piaci megfontolások"";""Azonos hatóanyag"
"BROMO-BILIARON 5,0 mg por oldatos injekcióhoz;""6 X   - üvegben"";""OGYI-T-09941/01"";""N-(3-bromo-2"
"BROMOCRIPTIN-RICHTER  2,5 mg tabletta;""30 X   - üvegben"";""OGYI-T-03720/01"";""bromocriptine"";""Richter Gedeon Nyrt."";""G02CB01 / N04BC01"";""2025-10-21 00:00:00"";""2025-11-14 00:00:00"";""Gyártási gond"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"BRONCHOSTOP köhögés elleni belsõleges gumipasztilla;""20 X   - buborékcsomagolásban"";""OGYI-TN-46/01"";""extr. thymi vulgaris herba"";""Kwizda Pharma GmbH"";""R05CA"";""2025-05-14 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"BRONCHOSTOP köhögés elleni belsõleges gumipasztilla;""40 X   - buborékcsomagolásban"";""OGYI-TN-46/02"";""extr. thymi vulgaris herba"";""Kwizda Pharma GmbH"";""R05CA"";""2025-05-14 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"BRUFEN cukormentes 40 mg/ml belsõleges szuszpenzió;""1 X 200 ml PET tartályban"";""OGYI-T-22073/04"";""ibuprofen"";""Viatris Healthcare Ltd."";""M01AE01"";""2016-11-11 00:00:00"";"""";""Gyártási gond"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"BUDENOFALK 9 mg gyomornedv-ellenálló granulátum;""30 X   - tasakban"";""OGYI-T-08898/04"";""budesonide"";""Dr. Falk Pharma GmbH"";""A07EA06"";""2025-10-13 00:00:00"";""2025-11-30 00:00:00"";""Szállítási vagy raktározási gondok"";""Azonos hatóanyag más gyógyszerformában elérhetõ"";"
"BUSZULFÁN ACCORD 6 mg/ml koncentrátum oldatos infúzióhoz;""1 X 10 ml injekciós üvegben"";""OGYI-T-23035/01"";""busulfan"";""Accord Healthcare Polska Sp. z o.o."";""L01AB01"";""2025-10-07 00:00:00"";""2025-11-30 00:00:00"";""Gyártási gond"";""Azonos hatóanyag"
"Betaferon 250 mikrogramm/ml por és oldószer oldatos injekcióhoz;""12 X   - injekciós üvegben"";""EU/1/95/003/008"";""interferon beta-1b"";""Bayer AG"";""L03AB08"";""2016-05-02 00:00:00"";"""";""Piaci megfontolások"";""Kontingens"";"
"Bondronat 50 mg filmtabletta;""28 X   - buborékcsomagolásban"";""EU/1/96/012/009"";""ibandronic acid"";""Atnahs Pharma Netherlands B.V."";""M05BA06"";""2013-01-22 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"Bondronat 6 mg koncentrátum oldatos infúzióhoz;""1 X 6  ml injekciós üvegben"";""EU/1/96/012/011"";""ibandronic acid"";""Atnahs Pharma Netherlands B.V."";""M05BA06"";""2013-01-22 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"Bonviva 150 mg filmtabletta;""1 X   - buborékcsomagolásban"";""EU/1/03/265/003"";""ibandronic acid"";""Atnahs Pharma Netherlands B.V."";""M05BA06"";""2014-02-03 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"Bonviva 150 mg filmtabletta;""3 X   - buborékcsomagolásban"";""EU/1/03/265/004"";""ibandronic acid"";""Atnahs Pharma Netherlands B.V."";""M05BA06"";""2014-02-03 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"Bonviva 3 mg oldatos injekció;""1 X   - elõretöltött fecskendõben"";""EU/1/03/265/005"";""ibandronic acid"";""Atnahs Pharma Netherlands B.V."";""M05BA06"";""2015-07-23 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"Bonviva 3 mg oldatos injekció;""4 X   - elõretöltött fecskendõben"";""EU/1/03/265/006"";""ibandronic acid"";""Atnahs Pharma Netherlands B.V."";""M05BA06"";""2015-07-23 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"Briviact 10 mg/ml belsõleges oldat;""1 X 300 ml tartályban"";""EU/1/15/1073/021"";""brivaracetam"";""UCB Pharma S.A."";""N03AX23"";""2024-10-01 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"Bronchitol 40 mg inhalációs por, kemény kapszula;""280 X   - buborékcsomagolásban"";""EU/1/12/760/002"";""mannitol"";""Pharmaxis Europe Ltd."";""R05CB16"";""2025-01-01 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"Bydureon 2 mg por és oldószer retard szuszpenziós injekcióhoz;""4 X 1 adag porüveg+oldószerüveg"";""EU/1/11/696/001"";""exenatide"";""AstraZeneca AB"";""A10BJ01"";""2017-09-01 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"Bydureon 2 mg por és oldószer retard szuszpenziós injekcióhoz, elõretöltött injekciós tollban;""4 X   - elõretöltött injekciós tollban"";""EU/1/11/696/003"";""exenatide"";""AstraZeneca AB"";""A10BJ01"";""2022-06-30 00:00:00"";"""";""Adminisztratív okok"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"Byetta  5 mikrogramm oldatos injekció elõretöltött injekciós tollban;""1 X 1.2 ml elõretöltött injekciós tollban"";""EU/1/06/362/001"";""exenatide"";""AstraZeneca AB"";""A10BJ01"";""2022-12-31 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"Byetta 10 mikrogramm oldatos injekció elõretöltött injekciós tollban;""1 X 2.4 ml elõretöltött injekciós tollban"";""EU/1/06/362/003"";""exenatide"";""AstraZeneca AB"";""A10BJ01"";""2022-12-31 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"BÉRES C-VITAMIN 100 mg filmtabletta;""20 X   - átlátszó buborékcsomagolásban"";""OGYI-T-08344/01"";""ascorbic acid"";""BÉRES Gyógyszergyár Zrt."";""A11GA01"";""2016-10-01 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más hatáserõsségben elérhetõ"";"
"BÉRES C-VITAMIN 200 mg filmtabletta;""20 X   - átlátszó buborékcsomagolásban"";""OGYI-T-08345/01"";""ascorbic acid"";""BÉRES Gyógyszergyár Zrt."";""A11GA01"";""2022-07-01 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"BÉRES Csepp belsõleges oldatos cseppek;""1 X 100 ml üvegben"";""OGYI-T-07262/02"";""minerals"";""BÉRES Gyógyszergyár Zrt."";""A13A"";""2014-12-31 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
